time/s	current/A	potential/V
1.00000E+00  -1.86939E-05 9.39422E-01 
2.00000E+00  -1.86939E-05 9.39422E-01 
3.00000E+00  -1.86939E-05 9.39422E-01 
4.00000E+00  -1.86939E-05 9.39612E-01 
5.00000E+00  -1.86939E-05 9.39612E-01 
6.00000E+00  9.93778E-03  9.50825E-01 
7.00000E+00  1.99091E-02  9.62987E-01 
8.00000E+00  2.98804E-02  9.75340E-01 
9.00000E+00  3.98517E-02  9.87693E-01 
1.00000E+01  4.99764E-02  1.00043E+00 
1.10000E+01  5.99477E-02  1.01297E+00 
1.20000E+01  6.99190E-02  1.02589E+00 
1.30000E+01  7.98904E-02  1.03862E+00 
1.40000E+01  9.00151E-02  1.05174E+00 
1.50000E+01  9.99864E-02  1.06466E+00 
1.60000E+01  1.09958E-01  1.07796E+00 
1.70000E+01  1.19929E-01  1.09108E+00 
1.80000E+01  1.30054E-01  1.10457E+00 
1.90000E+01  1.40025E-01  1.11806E+00 
2.00000E+01  1.49843E-01  1.13175E+00 
2.10000E+01  1.59814E-01  1.14543E+00 
2.20000E+01  1.69939E-01  1.15949E+00 
2.30000E+01  1.79910E-01  1.17355E+00 
2.40000E+01  1.89882E-01  1.18762E+00 
2.50000E+01  1.99853E-01  1.20206E+00 
2.60000E+01  2.09978E-01  1.21650E+00 
2.70000E+01  2.19949E-01  1.23114E+00 
2.80000E+01  2.29920E-01  1.24596E+00 
2.90000E+01  2.39892E-01  1.26097E+00 
3.00000E+01  2.50016E-01  1.27618E+00 
3.10000E+01  2.59988E-01  1.29138E+00 
3.20000E+01  2.69959E-01  1.30696E+00 
3.30000E+01  2.79930E-01  1.32274E+00 
3.40000E+01  2.90055E-01  1.33832E+00 
3.50000E+01  3.00026E-01  1.35486E+00 
3.60000E+01  3.10151E-01  1.37139E+00 
3.70000E+01  3.20122E-01  1.38811E+00 
3.80000E+01  3.30247E-01  1.40522E+00 
3.90000E+01  3.20122E-01  1.39343E+00 
4.00000E+01  3.10151E-01  1.38013E+00 
4.10000E+01  3.00026E-01  1.36607E+00 
4.20000E+01  2.90055E-01  1.35105E+00 
4.30000E+01  2.79930E-01  1.33642E+00 
4.40000E+01  2.69959E-01  1.32103E+00 
4.50000E+01  2.59988E-01  1.30563E+00 
4.60000E+01  2.50016E-01  1.29005E+00 
4.70000E+01  2.39892E-01  1.27466E+00 
4.80000E+01  2.29920E-01  1.25926E+00 
4.90000E+01  2.19949E-01  1.24406E+00 
5.00000E+01  2.09978E-01  1.22886E+00 
5.10000E+01  1.99853E-01  1.21384E+00 
5.20000E+01  1.89882E-01  1.19902E+00 
5.30000E+01  1.79910E-01  1.18439E+00 
5.40000E+01  1.69939E-01  1.16994E+00 
5.50000E+01  1.59814E-01  1.15531E+00 
5.60000E+01  1.49843E-01  1.14125E+00 
5.70000E+01  1.40025E-01  1.12699E+00 
5.80000E+01  1.30054E-01  1.11312E+00 
5.90000E+01  1.19929E-01  1.09925E+00 
6.00000E+01  1.10111E-01  1.08556E+00 
6.10000E+01  9.99864E-02  1.07207E+00 
6.20000E+01  9.00151E-02  1.05858E+00 
6.30000E+01  7.98904E-02  1.04547E+00 
6.40000E+01  6.99190E-02  1.03235E+00 
6.50000E+01  5.99477E-02  1.01924E+00 
6.60000E+01  4.99764E-02  1.00632E+00 
6.70000E+01  3.98517E-02  9.93394E-01 
6.80000E+01  3.00338E-02  9.80661E-01 
6.90000E+01  1.99091E-02  9.67928E-01 
7.00000E+01  9.93778E-03  9.55386E-01 
7.10000E+01  -3.35340E-05 9.43033E-01 
7.20000E+01  -3.35340E-06 9.42083E-01 
7.30000E+01  -3.35340E-06 9.41703E-01 
7.40000E+01  -3.35340E-06 9.41322E-01 
7.50000E+01  -3.35340E-06 9.41132E-01 
7.60000E+01  -3.35340E-06 9.40942E-01 
7.70000E+01  -3.35340E-06 9.40752E-01 
7.80000E+01  -3.35340E-06 9.40752E-01 
7.90000E+01  -3.35340E-06 9.40562E-01 
8.00000E+01  -3.35340E-06 9.40372E-01 
8.10000E+01  -3.35340E-06 9.40372E-01 
8.20000E+01  9.93778E-03  9.51585E-01 
8.30000E+01  1.99091E-02  9.63557E-01 
8.40000E+01  2.98804E-02  9.75910E-01 
8.50000E+01  3.98517E-02  9.88263E-01 
8.60000E+01  4.99764E-02  1.00081E+00 
8.70000E+01  5.99477E-02  1.01354E+00 
8.80000E+01  6.99190E-02  1.02646E+00 
8.90000E+01  7.98904E-02  1.03919E+00 
9.00000E+01  9.00151E-02  1.05212E+00 
9.10000E+01  9.99864E-02  1.06523E+00 
9.20000E+01  1.09958E-01  1.07834E+00 
9.30000E+01  1.19929E-01  1.09184E+00 
9.40000E+01  1.30054E-01  1.10514E+00 
9.50000E+01  1.40025E-01  1.11863E+00 
9.60000E+01  1.49843E-01  1.13232E+00 
9.70000E+01  1.59814E-01  1.14619E+00 
9.80000E+01  1.69939E-01  1.16006E+00 
9.90000E+01  1.79910E-01  1.17431E+00 
1.00000E+02  1.89882E-01  1.18857E+00 
1.01000E+02  1.99853E-01  1.20282E+00 
1.02000E+02  2.09978E-01  1.21726E+00 
1.03000E+02  2.19949E-01  1.23209E+00 
1.04000E+02  2.29920E-01  1.24691E+00 
