time/s	current/A	potential/V
1.00000E+00  -3.35340E-06 8.55613E-01 
2.00000E+00  -3.35340E-06 8.55613E-01 
3.00000E+00  -3.35340E-06 8.55613E-01 
4.00000E+00  -3.35340E-06 8.55423E-01 
5.00000E+00  -3.35340E-06 8.55613E-01 
6.00000E+00  1.00912E-02  8.60934E-01 
7.00000E+00  2.00625E-02  8.66256E-01 
8.00000E+00  3.00338E-02  8.71577E-01 
9.00000E+00  4.00051E-02  8.76708E-01 
1.00000E+01  5.01298E-02  8.82029E-01 
1.10000E+01  6.01011E-02  8.87350E-01 
1.20000E+01  7.00725E-02  8.92291E-01 
1.30000E+01  8.00438E-02  8.97423E-01 
1.40000E+01  9.01685E-02  9.02364E-01 
1.50000E+01  1.00140E-01  9.07305E-01 
1.60000E+01  1.10265E-01  9.12246E-01 
1.70000E+01  1.20082E-01  9.17187E-01 
1.80000E+01  1.30207E-01  9.22128E-01 
1.90000E+01  1.40178E-01  9.27069E-01 
2.00000E+01  1.49996E-01  9.32010E-01 
2.10000E+01  1.59968E-01  9.36571E-01 
2.20000E+01  1.70092E-01  9.41513E-01 
2.30000E+01  1.80064E-01  9.46454E-01 
2.40000E+01  1.90035E-01  9.50825E-01 
2.50000E+01  2.00006E-01  9.55766E-01 
2.60000E+01  2.10131E-01  9.60517E-01 
2.70000E+01  2.20102E-01  9.65268E-01 
2.80000E+01  2.30074E-01  9.70209E-01 
2.90000E+01  2.40045E-01  9.74960E-01 
3.00000E+01  2.50170E-01  9.79711E-01 
3.10000E+01  2.60141E-01  9.84652E-01 
3.20000E+01  2.70112E-01  9.89403E-01 
3.30000E+01  2.80084E-01  9.94344E-01 
3.40000E+01  2.90208E-01  9.99285E-01 
3.50000E+01  3.00180E-01  1.00404E+00 
3.60000E+01  3.10304E-01  1.00898E+00 
3.70000E+01  3.20276E-01  1.01392E+00 
3.80000E+01  3.30400E-01  1.01886E+00 
3.90000E+01  3.40372E-01  1.02399E+00 
4.00000E+01  3.50343E-01  1.02893E+00 
4.10000E+01  3.60314E-01  1.03387E+00 
4.20000E+01  3.70439E-01  1.03900E+00 
4.30000E+01  3.80410E-01  1.04433E+00 
4.40000E+01  3.90382E-01  1.04946E+00 
4.50000E+01  4.00353E-01  1.05478E+00 
4.60000E+01  4.10478E-01  1.05991E+00 
4.70000E+01  4.20449E-01  1.06523E+00 
4.80000E+01  4.30420E-01  1.07074E+00 
4.90000E+01  4.40392E-01  1.07644E+00 
5.00000E+01  4.50516E-01  1.08195E+00 
5.10000E+01  4.60488E-01  1.08747E+00 
5.20000E+01  4.70306E-01  1.09336E+00 
5.30000E+01  4.80277E-01  1.09906E+00 
5.40000E+01  4.90402E-01  1.10514E+00 
5.50000E+01  5.00373E-01  1.11103E+00 
5.60000E+01  5.10344E-01  1.11730E+00 
5.70000E+01  5.20315E-01  1.12357E+00 
5.80000E+01  5.30287E-01  1.13003E+00 
5.90000E+01  5.40258E-01  1.13650E+00 
6.00000E+01  5.50229E-01  1.14315E+00 
6.10000E+01  5.60354E-01  1.14999E+00 
6.20000E+01  5.70325E-01  1.15702E+00 
6.30000E+01  5.80450E-01  1.16424E+00 
6.40000E+01  5.90268E-01  1.17165E+00 
6.50000E+01  6.00393E-01  1.17926E+00 
6.60000E+01  6.10364E-01  1.18705E+00 
6.70000E+01  6.20182E-01  1.19484E+00 
6.80000E+01  6.30153E-01  1.20320E+00 
6.90000E+01  6.40278E-01  1.21175E+00 
7.00000E+01  6.50249E-01  1.22050E+00 
7.10000E+01  6.60221E-01  1.22943E+00 
7.20000E+01  6.70192E-01  1.23893E+00 
7.30000E+01  6.80317E-01  1.24843E+00 
7.40000E+01  6.90288E-01  1.25831E+00 
7.50000E+01  7.00259E-01  1.26858E+00 
7.60000E+01  7.10231E-01  1.27884E+00 
7.70000E+01  7.20355E-01  1.28967E+00 
7.80000E+01  7.30327E-01  1.30069E+00 
7.90000E+01  7.40298E-01  1.31191E+00 
8.00000E+01  7.50269E-01  1.32502E+00 
8.10000E+01  7.60394E-01  1.34136E+00 
8.20000E+01  7.70365E-01  1.36056E+00 
8.30000E+01  7.80183E-01  1.37937E+00 
8.40000E+01  7.90155E-01  1.39818E+00 
8.50000E+01  8.00279E-01  1.41795E+00 
8.60000E+01  7.90155E-01  1.42194E+00 
8.70000E+01  7.80183E-01  1.42080E+00 
8.80000E+01  7.70365E-01  1.41586E+00 
8.90000E+01  7.60394E-01  1.40864E+00 
9.00000E+01  7.50269E-01  1.39990E+00 
9.10000E+01  7.40451E-01  1.39001E+00 
9.20000E+01  7.30327E-01  1.37956E+00 
9.30000E+01  7.20355E-01  1.36854E+00 
9.40000E+01  7.10231E-01  1.35695E+00 
9.50000E+01  7.00259E-01  1.34535E+00 
9.60000E+01  6.90288E-01  1.33376E+00 
9.70000E+01  6.80317E-01  1.32179E+00 
9.80000E+01  6.70192E-01  1.30963E+00 
9.90000E+01  6.60221E-01  1.29746E+00 
1.00000E+02  6.50249E-01  1.28530E+00 
1.01000E+02  6.40278E-01  1.27295E+00 
1.02000E+02  6.30000E-01  1.26059E+00 
1.03000E+02  6.20182E-01  1.24862E+00 
1.04000E+02  6.10364E-01  1.23684E+00 
1.05000E+02  6.00393E-01  1.22506E+00 
1.06000E+02  5.90268E-01  1.21384E+00 
1.07000E+02  5.80297E-01  1.20301E+00 
1.08000E+02  5.70325E-01  1.19237E+00 
1.09000E+02  5.60354E-01  1.18230E+00 
1.10000E+02  5.50229E-01  1.17241E+00 
1.11000E+02  5.40258E-01  1.16291E+00 
1.12000E+02  5.30287E-01  1.15379E+00 
1.13000E+02  5.20315E-01  1.14486E+00 
1.14000E+02  5.10344E-01  1.13612E+00 
1.15000E+02  5.00373E-01  1.12775E+00 
1.16000E+02  4.90402E-01  1.11939E+00 
1.17000E+02  4.80277E-01  1.11141E+00 
1.18000E+02  4.70306E-01  1.10381E+00 
1.19000E+02  4.60488E-01  1.09640E+00 
1.20000E+02  4.50516E-01  1.08918E+00 
1.21000E+02  4.40392E-01  1.08252E+00 
1.22000E+02  4.30420E-01  1.07606E+00 
1.23000E+02  4.20449E-01  1.06960E+00 
1.24000E+02  4.10478E-01  1.06333E+00 
1.25000E+02  4.00353E-01  1.05744E+00 
1.26000E+02  3.90382E-01  1.05136E+00 
1.27000E+02  3.80410E-01  1.04566E+00 
1.28000E+02  3.70439E-01  1.04014E+00 
1.29000E+02  3.60314E-01  1.03463E+00 
1.30000E+02  3.50343E-01  1.02969E+00 
1.31000E+02  3.40372E-01  1.02456E+00 
1.32000E+02  3.30400E-01  1.01962E+00 
1.33000E+02  3.20276E-01  1.01468E+00 
1.34000E+02  3.10304E-01  1.00974E+00 
1.35000E+02  3.00180E-01  1.00499E+00 
1.36000E+02  2.90208E-01  1.00005E+00 
1.37000E+02  2.80084E-01  9.95295E-01 
1.38000E+02  2.70112E-01  9.90353E-01 
1.39000E+02  2.60141E-01  9.85602E-01 
1.40000E+02  2.50170E-01  9.81041E-01 
1.41000E+02  2.40045E-01  9.76290E-01 
1.42000E+02  2.30074E-01  9.71539E-01 
1.43000E+02  2.20102E-01  9.66598E-01 
1.44000E+02  2.10131E-01  9.61847E-01 
1.45000E+02  2.00006E-01  9.57286E-01 
1.46000E+02  1.90035E-01  9.52345E-01 
1.47000E+02  1.80064E-01  9.47974E-01 
1.48000E+02  1.70092E-01  9.43223E-01 
1.49000E+02  1.59968E-01  9.38282E-01 
1.50000E+02  1.49996E-01  9.33721E-01 
1.51000E+02  1.40178E-01  9.28970E-01 
1.52000E+02  1.30207E-01  9.24029E-01 
1.53000E+02  1.20082E-01  9.19087E-01 
1.54000E+02  1.10111E-01  9.14146E-01 
1.55000E+02  1.00140E-01  9.09395E-01 
1.56000E+02  9.01685E-02  9.04454E-01 
1.57000E+02  8.00438E-02  8.99513E-01 
1.58000E+02  7.00725E-02  8.94382E-01 
1.59000E+02  6.01011E-02  8.89441E-01 
1.60000E+02  5.01298E-02  8.84310E-01 
1.61000E+02  4.00051E-02  8.78988E-01 
1.62000E+02  3.00338E-02  8.73667E-01 
1.63000E+02  2.00625E-02  8.68346E-01 
1.64000E+02  1.00912E-02  8.63025E-01 
1.65000E+02  -3.35340E-05 8.57514E-01 
1.66000E+02  -3.35340E-06 8.57134E-01 
1.67000E+02  -3.35340E-06 8.56944E-01 
1.68000E+02  -3.35340E-06 8.56944E-01 
1.69000E+02  -3.35340E-06 8.56753E-01 
1.70000E+02  -3.35340E-06 8.56563E-01 
1.71000E+02  -3.35340E-06 8.56563E-01 
1.72000E+02  -3.35340E-06 8.56373E-01 
1.73000E+02  -3.35340E-06 8.56373E-01 
1.74000E+02  -3.35340E-06 8.56373E-01 
1.75000E+02  -3.35340E-06 8.56183E-01 
1.76000E+02  1.00912E-02  8.61505E-01 
1.77000E+02  2.00625E-02  8.66636E-01 
1.78000E+02  3.00338E-02  8.71767E-01 
1.79000E+02  4.00051E-02  8.77088E-01 
1.80000E+02  5.01298E-02  8.82219E-01 
1.81000E+02  6.01011E-02  8.87350E-01 
1.82000E+02  7.00725E-02  8.92291E-01 
1.83000E+02  8.00438E-02  8.97423E-01 
1.84000E+02  9.01685E-02  9.02174E-01 
1.85000E+02  1.00140E-01  9.07305E-01 
1.86000E+02  1.10111E-01  9.12056E-01 
1.87000E+02  1.20082E-01  9.16807E-01 
1.88000E+02  1.30207E-01  9.21748E-01 
1.89000E+02  1.40178E-01  9.26689E-01 
1.90000E+02  1.49996E-01  9.31440E-01 
1.91000E+02  1.59968E-01  9.36191E-01 
1.92000E+02  1.70092E-01  9.40942E-01 
1.93000E+02  1.80064E-01  9.45693E-01 
1.94000E+02  1.90035E-01  9.50254E-01 
1.95000E+02  2.00006E-01  9.55006E-01 
1.96000E+02  2.10131E-01  9.59757E-01 
1.97000E+02  2.20102E-01  9.64508E-01 
1.98000E+02  2.30074E-01  9.69259E-01 
1.99000E+02  2.40045E-01  9.74010E-01 
2.00000E+02  2.50170E-01  9.78761E-01 
2.01000E+02  2.60141E-01  9.83512E-01 
2.02000E+02  2.70112E-01  9.88263E-01 
2.03000E+02  2.80084E-01  9.93204E-01 
2.04000E+02  2.90208E-01  9.97765E-01 
2.05000E+02  3.00180E-01  1.00271E+00 
2.06000E+02  3.10304E-01  1.00765E+00 
2.07000E+02  3.20276E-01  1.01240E+00 
2.08000E+02  3.30400E-01  1.01734E+00 
2.09000E+02  3.40372E-01  1.02228E+00 
2.10000E+02  3.50343E-01  1.02722E+00 
2.11000E+02  3.60314E-01  1.03235E+00 
2.12000E+02  3.70439E-01  1.03729E+00 
2.13000E+02  3.80410E-01  1.04224E+00 
2.14000E+02  3.90382E-01  1.04737E+00 
2.15000E+02  4.00353E-01  1.05250E+00 
2.16000E+02  4.10478E-01  1.05782E+00 
2.17000E+02  4.20449E-01  1.06314E+00 
2.18000E+02  4.30420E-01  1.06846E+00 
2.19000E+02  4.40392E-01  1.07378E+00 
2.20000E+02  4.50516E-01  1.07948E+00 
2.21000E+02  4.60488E-01  1.08480E+00 
2.22000E+02  4.70306E-01  1.09051E+00 
2.23000E+02  4.80277E-01  1.09640E+00 
2.24000E+02  4.90402E-01  1.10210E+00 
2.25000E+02  5.00373E-01  1.10799E+00 
2.26000E+02  5.10344E-01  1.11407E+00 
2.27000E+02  5.20315E-01  1.12015E+00 
2.28000E+02  5.30287E-01  1.12661E+00 
2.29000E+02  5.40258E-01  1.13289E+00 
2.30000E+02  5.50229E-01  1.13954E+00 
2.31000E+02  5.60354E-01  1.14619E+00 
2.32000E+02  5.70325E-01  1.15322E+00 
2.33000E+02  5.80297E-01  1.16006E+00 
2.34000E+02  5.90268E-01  1.16747E+00 
2.35000E+02  6.00393E-01  1.17488E+00 
2.36000E+02  6.10364E-01  1.18249E+00 
2.37000E+02  6.20182E-01  1.19047E+00 
2.38000E+02  6.30000E-01  1.19864E+00 
2.39000E+02  6.40278E-01  1.20681E+00 
2.40000E+02  6.50249E-01  1.21574E+00 
2.41000E+02  6.60221E-01  1.22468E+00 
2.42000E+02  6.70192E-01  1.23380E+00 
2.43000E+02  6.80317E-01  1.24349E+00 
2.44000E+02  6.90288E-01  1.25375E+00 
2.45000E+02  7.00259E-01  1.26516E+00 
2.46000E+02  7.10231E-01  1.27713E+00 
2.47000E+02  7.20355E-01  1.29024E+00 
2.48000E+02  7.30327E-01  1.30430E+00 
2.49000E+02  7.40298E-01  1.31913E+00 
2.50000E+02  7.50269E-01  1.33395E+00 
2.51000E+02  7.60394E-01  1.34896E+00 
2.52000E+02  7.70365E-01  1.36512E+00 
2.53000E+02  7.80183E-01  1.38222E+00 
2.54000E+02  7.90155E-01  1.40104E+00 
2.55000E+02  7.80183E-01  1.40484E+00 
2.56000E+02  7.70365E-01  1.40351E+00 
2.57000E+02  7.60394E-01  1.39857E+00 
2.58000E+02  7.50269E-01  1.39153E+00 
2.59000E+02  7.40298E-01  1.38260E+00 
2.60000E+02  7.30327E-01  1.37291E+00 
2.61000E+02  7.20355E-01  1.36246E+00 
2.62000E+02  7.10231E-01  1.35143E+00 
2.63000E+02  7.00259E-01  1.34022E+00 
2.64000E+02  6.90288E-01  1.32901E+00 
2.65000E+02  6.80317E-01  1.31704E+00 
2.66000E+02  6.70192E-01  1.30468E+00 
2.67000E+02  6.60221E-01  1.29214E+00 
2.68000E+02  6.50096E-01  1.27903E+00 
2.69000E+02  6.40278E-01  1.26611E+00 
2.70000E+02  6.30153E-01  1.25318E+00 
2.71000E+02  6.20182E-01  1.24083E+00 
2.72000E+02  6.10364E-01  1.22886E+00 
2.73000E+02  6.00393E-01  1.21745E+00 
2.74000E+02  5.90268E-01  1.20624E+00 
2.75000E+02  5.80297E-01  1.19560E+00 
2.76000E+02  5.70325E-01  1.18553E+00 
2.77000E+02  5.60354E-01  1.17565E+00 
2.78000E+02  5.50229E-01  1.16614E+00 
2.79000E+02  5.40258E-01  1.15683E+00 
2.80000E+02  5.30287E-01  1.14809E+00 
2.81000E+02  5.20315E-01  1.13954E+00 
2.82000E+02  5.10344E-01  1.13118E+00 
2.83000E+02  5.00373E-01  1.12338E+00 
