time/s	current/A	potential/V
1.00000E+00  -3.35340E-06 9.11486E-01 
2.00000E+00  -3.35340E-06 9.11486E-01 
3.00000E+00  -3.35340E-06 9.11486E-01 
4.00000E+00  -3.35340E-06 9.11486E-01 
5.00000E+00  -3.35340E-06 9.11486E-01 
6.00000E+00  1.00912E-02  9.19468E-01 
7.00000E+00  2.00625E-02  9.27829E-01 
8.00000E+00  3.00338E-02  9.36191E-01 
9.00000E+00  4.00051E-02  9.44553E-01 
1.00000E+01  5.01298E-02  9.52725E-01 
1.10000E+01  6.01011E-02  9.60897E-01 
1.20000E+01  7.00725E-02  9.69259E-01 
1.30000E+01  8.00438E-02  9.77621E-01 
1.40000E+01  9.01685E-02  9.85792E-01 
1.50000E+01  1.00140E-01  9.94154E-01 
1.60000E+01  1.10111E-01  1.00252E+00 
1.70000E+01  1.20082E-01  1.01069E+00 
1.80000E+01  1.30207E-01  1.01924E+00 
1.90000E+01  1.40178E-01  1.02760E+00 
2.00000E+01  1.49996E-01  1.03596E+00 
2.10000E+01  1.59968E-01  1.04433E+00 
2.20000E+01  1.70092E-01  1.05288E+00 
2.30000E+01  1.80064E-01  1.06124E+00 
2.40000E+01  1.90035E-01  1.06979E+00 
2.50000E+01  2.00006E-01  1.07853E+00 
2.60000E+01  2.10131E-01  1.08690E+00 
2.70000E+01  2.20102E-01  1.09564E+00 
2.80000E+01  2.30074E-01  1.10457E+00 
2.90000E+01  2.40045E-01  1.11312E+00 
3.00000E+01  2.50170E-01  1.12205E+00 
3.10000E+01  2.60141E-01  1.13099E+00 
3.20000E+01  2.70112E-01  1.13992E+00 
3.30000E+01  2.80084E-01  1.14904E+00 
3.40000E+01  2.90208E-01  1.15816E+00 
3.50000E+01  3.00180E-01  1.16747E+00 
3.60000E+01  3.10304E-01  1.17698E+00 
3.70000E+01  3.20276E-01  1.18629E+00 
3.80000E+01  3.30400E-01  1.19579E+00 
3.90000E+01  3.40372E-01  1.20548E+00 
4.00000E+01  3.50343E-01  1.21517E+00 
4.10000E+01  3.60314E-01  1.22525E+00 
4.20000E+01  3.70439E-01  1.23513E+00 
4.30000E+01  3.80410E-01  1.24539E+00 
4.40000E+01  3.90382E-01  1.25565E+00 
4.50000E+01  4.00353E-01  1.26611E+00 
4.60000E+01  4.10478E-01  1.27694E+00 
4.70000E+01  4.20296E-01  1.28758E+00 
4.80000E+01  4.30420E-01  1.29879E+00 
4.90000E+01  4.40392E-01  1.30982E+00 
5.00000E+01  4.50516E-01  1.32141E+00 
5.10000E+01  4.60488E-01  1.33300E+00 
5.20000E+01  4.70306E-01  1.34478E+00 
5.30000E+01  4.80277E-01  1.35676E+00 
5.40000E+01  4.90248E-01  1.36930E+00 
5.50000E+01  5.00373E-01  1.38165E+00 
5.60000E+01  5.10344E-01  1.39457E+00 
5.70000E+01  5.20315E-01  1.40788E+00 
5.80000E+01  5.10344E-01  1.40066E+00 
5.90000E+01  5.00373E-01  1.39229E+00 
6.00000E+01  4.90402E-01  1.38260E+00 
6.10000E+01  4.80277E-01  1.37215E+00 
6.20000E+01  4.70306E-01  1.36113E+00 
6.30000E+01  4.60488E-01  1.34972E+00 
6.40000E+01  4.50516E-01  1.33832E+00 
6.50000E+01  4.40392E-01  1.32692E+00 
6.60000E+01  4.30420E-01  1.31552E+00 
6.70000E+01  4.20449E-01  1.30392E+00 
6.80000E+01  4.10478E-01  1.29252E+00 
6.90000E+01  4.00353E-01  1.28112E+00 
7.00000E+01  3.90382E-01  1.27010E+00 
7.10000E+01  3.80410E-01  1.25888E+00 
7.20000E+01  3.70439E-01  1.24824E+00 
7.30000E+01  3.60314E-01  1.23741E+00 
7.40000E+01  3.50343E-01  1.22696E+00 
7.50000E+01  3.40372E-01  1.21650E+00 
7.60000E+01  3.30400E-01  1.20624E+00 
7.70000E+01  3.20276E-01  1.19636E+00 
7.80000E+01  3.10304E-01  1.18629E+00 
7.90000E+01  3.00180E-01  1.17660E+00 
8.00000E+01  2.90208E-01  1.16671E+00 
8.10000E+01  2.80084E-01  1.15721E+00 
8.20000E+01  2.70112E-01  1.14771E+00 
8.30000E+01  2.60141E-01  1.13840E+00 
8.40000E+01  2.50170E-01  1.12927E+00 
8.50000E+01  2.40045E-01  1.11996E+00 
8.60000E+01  2.30074E-01  1.11084E+00 
8.70000E+01  2.20102E-01  1.10191E+00 
8.80000E+01  2.10131E-01  1.09298E+00 
8.90000E+01  2.00006E-01  1.08404E+00 
9.00000E+01  1.90035E-01  1.07549E+00 
9.10000E+01  1.80064E-01  1.06656E+00 
9.20000E+01  1.70092E-01  1.05801E+00 
9.30000E+01  1.59968E-01  1.04927E+00 
9.40000E+01  1.49996E-01  1.04071E+00 
9.50000E+01  1.40178E-01  1.03235E+00 
9.60000E+01  1.30207E-01  1.02380E+00 
9.70000E+01  1.20082E-01  1.01525E+00 
9.80000E+01  1.10111E-01  1.00689E+00 
9.90000E+01  1.00140E-01  9.98335E-01 
1.00000E+02  9.01685E-02  9.89973E-01 
1.01000E+02  8.00438E-02  9.81612E-01 
1.02000E+02  7.00725E-02  9.73060E-01 
1.03000E+02  6.01011E-02  9.64698E-01 
1.04000E+02  5.01298E-02  9.56336E-01 
