time/s	current/A	potential/V
1.00000E+00  -3.35340E-06 9.21368E-01 
2.00000E+00  -3.35340E-06 9.21558E-01 
3.00000E+00  -3.35340E-06 9.21558E-01 
4.00000E+00  -3.35340E-06 9.21368E-01 
5.00000E+00  -3.35340E-06 9.21558E-01 
6.00000E+00  1.00912E-02  9.30300E-01 
7.00000E+00  1.99091E-02  9.39612E-01 
8.00000E+00  3.00338E-02  9.48734E-01 
9.00000E+00  4.00051E-02  9.58046E-01 
1.00000E+01  5.01298E-02  9.67358E-01 
1.10000E+01  6.01011E-02  9.76860E-01 
1.20000E+01  7.00725E-02  9.85982E-01 
1.30000E+01  8.00438E-02  9.95485E-01 
1.40000E+01  9.01685E-02  1.00499E+00 
1.50000E+01  1.00140E-01  1.01430E+00 
1.60000E+01  1.10111E-01  1.02380E+00 
1.70000E+01  1.20082E-01  1.03330E+00 
1.80000E+01  1.30207E-01  1.04281E+00 
1.90000E+01  1.40178E-01  1.05231E+00 
2.00000E+01  1.49996E-01  1.06200E+00 
2.10000E+01  1.59968E-01  1.07169E+00 
2.20000E+01  1.70092E-01  1.08157E+00 
2.30000E+01  1.80064E-01  1.09127E+00 
2.40000E+01  1.90035E-01  1.10115E+00 
2.50000E+01  2.00006E-01  1.11103E+00 
2.60000E+01  2.10131E-01  1.12110E+00 
2.70000E+01  2.20102E-01  1.13118E+00 
2.80000E+01  2.30074E-01  1.14144E+00 
2.90000E+01  2.40045E-01  1.15170E+00 
3.00000E+01  2.50170E-01  1.16196E+00 
3.10000E+01  2.60141E-01  1.17241E+00 
3.20000E+01  2.70112E-01  1.18306E+00 
3.30000E+01  2.80084E-01  1.19370E+00 
3.40000E+01  2.90208E-01  1.20453E+00 
3.50000E+01  3.00180E-01  1.21555E+00 
3.60000E+01  3.10304E-01  1.22658E+00 
3.70000E+01  3.20276E-01  1.23779E+00 
3.80000E+01  3.30400E-01  1.24919E+00 
3.90000E+01  3.40372E-01  1.26059E+00 
4.00000E+01  3.50343E-01  1.27238E+00 
4.10000E+01  3.60314E-01  1.28416E+00 
4.20000E+01  3.70439E-01  1.29632E+00 
4.30000E+01  3.80410E-01  1.30867E+00 
4.40000E+01  3.90382E-01  1.32122E+00 
4.50000E+01  4.00353E-01  1.33376E+00 
4.60000E+01  4.10324E-01  1.34649E+00 
4.70000E+01  4.20296E-01  1.35961E+00 
4.80000E+01  4.30420E-01  1.37310E+00 
4.90000E+01  4.40392E-01  1.38678E+00 
5.00000E+01  4.50363E-01  1.40047E+00 
5.10000E+01  4.40392E-01  1.39229E+00 
5.20000E+01  4.30420E-01  1.38260E+00 
5.30000E+01  4.20296E-01  1.37177E+00 
5.40000E+01  4.10478E-01  1.36018E+00 
5.50000E+01  4.00353E-01  1.34820E+00 
5.60000E+01  3.90382E-01  1.33623E+00 
5.70000E+01  3.80257E-01  1.32388E+00 
5.80000E+01  3.70439E-01  1.31153E+00 
5.90000E+01  3.60314E-01  1.29917E+00 
6.00000E+01  3.50343E-01  1.28682E+00 
6.10000E+01  3.40218E-01  1.27485E+00 
6.20000E+01  3.30400E-01  1.26249E+00 
6.30000E+01  3.20276E-01  1.25071E+00 
6.40000E+01  3.10304E-01  1.23893E+00 
6.50000E+01  3.00180E-01  1.22734E+00 
6.60000E+01  2.90208E-01  1.21574E+00 
6.70000E+01  2.80084E-01  1.20434E+00 
6.80000E+01  2.70112E-01  1.19313E+00 
6.90000E+01  2.60141E-01  1.18211E+00 
7.00000E+01  2.50170E-01  1.17127E+00 
7.10000E+01  2.40045E-01  1.16025E+00 
7.20000E+01  2.30074E-01  1.14980E+00 
7.30000E+01  2.20102E-01  1.13916E+00 
7.40000E+01  2.10131E-01  1.12870E+00 
7.50000E+01  2.00006E-01  1.11844E+00 
7.60000E+01  1.90035E-01  1.10799E+00 
7.70000E+01  1.80064E-01  1.09792E+00 
7.80000E+01  1.70092E-01  1.08804E+00 
7.90000E+01  1.59968E-01  1.07796E+00 
8.00000E+01  1.49996E-01  1.06789E+00 
8.10000E+01  1.40178E-01  1.05801E+00 
8.20000E+01  1.30207E-01  1.04832E+00 
8.30000E+01  1.20082E-01  1.03862E+00 
8.40000E+01  1.10111E-01  1.02912E+00 
8.50000E+01  1.00140E-01  1.01943E+00 
8.60000E+01  9.01685E-02  1.00955E+00 
8.70000E+01  8.00438E-02  1.00024E+00 
8.80000E+01  7.00725E-02  9.90544E-01 
8.90000E+01  6.01011E-02  9.81231E-01 
9.00000E+01  5.01298E-02  9.71729E-01 
9.10000E+01  4.00051E-02  9.61847E-01 
9.20000E+01  3.00338E-02  9.52535E-01 
9.30000E+01  2.00625E-02  9.43223E-01 
9.40000E+01  1.00912E-02  9.33721E-01 
9.50000E+01  -3.35340E-05 9.24029E-01 
9.60000E+01  -3.35340E-06 9.23458E-01 
9.70000E+01  -3.35340E-06 9.23078E-01 
9.80000E+01  -3.35340E-06 9.22888E-01 
9.90000E+01  -3.35340E-06 9.22888E-01 
1.00000E+02  -3.35340E-06 9.22508E-01 
1.01000E+02  -3.35340E-06 9.22508E-01 
1.02000E+02  -3.35340E-06 9.22318E-01 
1.03000E+02  -3.35340E-06 9.22318E-01 
1.04000E+02  -3.35340E-06 9.22128E-01 
1.05000E+02  -3.35340E-06 9.22128E-01 
1.06000E+02  1.00912E-02  9.31060E-01 
1.07000E+02  2.00625E-02  9.40182E-01 
1.08000E+02  3.00338E-02  9.49114E-01 
1.09000E+02  4.00051E-02  9.58426E-01 
1.10000E+02  5.01298E-02  9.67738E-01 
1.11000E+02  6.01011E-02  9.77241E-01 
1.12000E+02  7.00725E-02  9.86363E-01 
1.13000E+02  8.00438E-02  9.95865E-01 
1.14000E+02  9.01685E-02  1.00537E+00 
1.15000E+02  1.00140E-01  1.01449E+00 
1.16000E+02  1.10111E-01  1.02418E+00 
1.17000E+02  1.20082E-01  1.03368E+00 
1.18000E+02  1.30207E-01  1.04319E+00 
1.19000E+02  1.40178E-01  1.05269E+00 
1.20000E+02  1.49996E-01  1.06238E+00 
1.21000E+02  1.59968E-01  1.07188E+00 
1.22000E+02  1.70092E-01  1.08176E+00 
1.23000E+02  1.80064E-01  1.09165E+00 
1.24000E+02  1.90035E-01  1.10134E+00 
1.25000E+02  2.00006E-01  1.11141E+00 
1.26000E+02  2.10131E-01  1.12129E+00 
1.27000E+02  2.20102E-01  1.13137E+00 
1.28000E+02  2.30074E-01  1.14163E+00 
1.29000E+02  2.40045E-01  1.15208E+00 
1.30000E+02  2.50170E-01  1.16234E+00 
1.31000E+02  2.60141E-01  1.17298E+00 
1.32000E+02  2.70112E-01  1.18344E+00 
1.33000E+02  2.80084E-01  1.19408E+00 
1.34000E+02  2.90208E-01  1.20491E+00 
1.35000E+02  3.00180E-01  1.21593E+00 
1.36000E+02  3.10304E-01  1.22715E+00 
1.37000E+02  3.20276E-01  1.23836E+00 
1.38000E+02  3.30247E-01  1.24976E+00 
1.39000E+02  3.40218E-01  1.26116E+00 
1.40000E+02  3.50343E-01  1.27314E+00 
1.41000E+02  3.60314E-01  1.28492E+00 
1.42000E+02  3.70439E-01  1.29689E+00 
1.43000E+02  3.80410E-01  1.30925E+00 
1.44000E+02  3.90382E-01  1.32198E+00 
1.45000E+02  4.00353E-01  1.33471E+00 
1.46000E+02  4.10478E-01  1.34744E+00 
1.47000E+02  4.20296E-01  1.36056E+00 
1.48000E+02  4.30420E-01  1.37405E+00 
1.49000E+02  4.40392E-01  1.38773E+00 
1.50000E+02  4.50363E-01  1.40161E+00 
1.51000E+02  4.40392E-01  1.39343E+00 
1.52000E+02  4.30420E-01  1.38355E+00 
1.53000E+02  4.20296E-01  1.37253E+00 
1.54000E+02  4.10324E-01  1.36094E+00 
1.55000E+02  4.00353E-01  1.34915E+00 
1.56000E+02  3.90382E-01  1.33699E+00 
1.57000E+02  3.80410E-01  1.32464E+00 
1.58000E+02  3.70439E-01  1.31229E+00 
1.59000E+02  3.60314E-01  1.29974E+00 
1.60000E+02  3.50343E-01  1.28758E+00 
1.61000E+02  3.40372E-01  1.27542E+00 
1.62000E+02  3.30247E-01  1.26306E+00 
1.63000E+02  3.20276E-01  1.25109E+00 
1.64000E+02  3.10304E-01  1.23950E+00 
1.65000E+02  3.00180E-01  1.22772E+00 
1.66000E+02  2.90208E-01  1.21612E+00 
1.67000E+02  2.80084E-01  1.20472E+00 
1.68000E+02  2.70112E-01  1.19332E+00 
1.69000E+02  2.60141E-01  1.18249E+00 
1.70000E+02  2.50170E-01  1.17146E+00 
1.71000E+02  2.40045E-01  1.16063E+00 
1.72000E+02  2.30074E-01  1.14999E+00 
1.73000E+02  2.20102E-01  1.13935E+00 
1.74000E+02  2.10131E-01  1.12889E+00 
1.75000E+02  2.00006E-01  1.11863E+00 
1.76000E+02  1.90035E-01  1.10818E+00 
1.77000E+02  1.80064E-01  1.09811E+00 
1.78000E+02  1.70092E-01  1.08804E+00 
1.79000E+02  1.59968E-01  1.07815E+00 
1.80000E+02  1.49996E-01  1.06808E+00 
1.81000E+02  1.40178E-01  1.05820E+00 
1.82000E+02  1.30207E-01  1.04851E+00 
1.83000E+02  1.20082E-01  1.03862E+00 
1.84000E+02  1.10111E-01  1.02912E+00 
1.85000E+02  9.99864E-02  1.01943E+00 
1.86000E+02  9.01685E-02  1.00974E+00 
1.87000E+02  8.00438E-02  1.00024E+00 
1.88000E+02  7.00725E-02  9.90734E-01 
1.89000E+02  6.01011E-02  9.81231E-01 
1.90000E+02  5.01298E-02  9.71729E-01 
1.91000E+02  4.00051E-02  9.62037E-01 
1.92000E+02  3.00338E-02  9.52535E-01 
1.93000E+02  1.99091E-02  9.43413E-01 
