time/s	current/A	potential/V
1.00000E+00  -3.35340E-06 8.28817E-01 
2.00000E+00  -3.35340E-06 8.28817E-01 
3.00000E+00  -3.35340E-06 8.28817E-01 
4.00000E+00  -3.35340E-06 8.28817E-01 
5.00000E+00  -3.35340E-06 8.28817E-01 
6.00000E+00  1.00912E-02  8.33948E-01 
7.00000E+00  2.00625E-02  8.38889E-01 
8.00000E+00  3.00338E-02  8.43641E-01 
9.00000E+00  4.00051E-02  8.48582E-01 
1.00000E+01  5.01298E-02  8.53333E-01 
1.10000E+01  6.01011E-02  8.58084E-01 
1.20000E+01  7.00725E-02  8.62835E-01 
1.30000E+01  8.00438E-02  8.67396E-01 
1.40000E+01  9.01685E-02  8.71957E-01 
1.50000E+01  1.00140E-01  8.76518E-01 
1.60000E+01  1.10111E-01  8.81079E-01 
1.70000E+01  1.20082E-01  8.85640E-01 
1.80000E+01  1.30207E-01  8.90011E-01 
1.90000E+01  1.40178E-01  8.94382E-01 
2.00000E+01  1.49996E-01  8.98943E-01 
2.10000E+01  1.59968E-01  9.03314E-01 
2.20000E+01  1.70092E-01  9.07685E-01 
2.30000E+01  1.80064E-01  9.11866E-01 
2.40000E+01  1.90035E-01  9.16237E-01 
2.50000E+01  2.00006E-01  9.20608E-01 
2.60000E+01  2.10131E-01  9.24979E-01 
2.70000E+01  2.20102E-01  9.29350E-01 
2.80000E+01  2.30074E-01  9.33721E-01 
2.90000E+01  2.40045E-01  9.37902E-01 
3.00000E+01  2.50170E-01  9.42273E-01 
3.10000E+01  2.60141E-01  9.46644E-01 
3.20000E+01  2.70112E-01  9.50445E-01 
3.30000E+01  2.80084E-01  9.55006E-01 
3.40000E+01  2.90208E-01  9.59186E-01 
3.50000E+01  3.00180E-01  9.63557E-01 
3.60000E+01  3.10304E-01  9.67928E-01 
3.70000E+01  3.20276E-01  9.72299E-01 
3.80000E+01  3.30400E-01  9.76670E-01 
3.90000E+01  3.40372E-01  9.81231E-01 
4.00000E+01  3.50343E-01  9.85412E-01 
