time/s	current/A	potential/V
1.00000E+00  -3.35340E-06 8.90771E-01 
2.00000E+00  -3.35340E-06 8.90771E-01 
3.00000E+00  -3.35340E-06 8.90771E-01 
4.00000E+00  -3.35340E-06 8.90771E-01 
5.00000E+00  -3.35340E-06 8.90771E-01 
6.00000E+00  9.93778E-03  8.97613E-01 
7.00000E+00  1.99091E-02  9.04264E-01 
8.00000E+00  3.00338E-02  9.11106E-01 
9.00000E+00  4.00051E-02  9.17757E-01 
1.00000E+01  5.01298E-02  9.24599E-01 
1.10000E+01  6.01011E-02  9.31250E-01 
1.20000E+01  7.00725E-02  9.37902E-01 
1.30000E+01  7.98904E-02  9.44553E-01 
1.40000E+01  9.00151E-02  9.50825E-01 
1.50000E+01  9.99864E-02  9.57476E-01 
1.60000E+01  1.10111E-01  9.63938E-01 
1.70000E+01  1.19929E-01  9.70589E-01 
1.80000E+01  1.30207E-01  9.77050E-01 
1.90000E+01  1.40025E-01  9.83702E-01 
2.00000E+01  1.49996E-01  9.90163E-01 
2.10000E+01  1.59814E-01  9.96815E-01 
2.20000E+01  1.69939E-01  1.00328E+00 
2.30000E+01  1.79910E-01  1.00974E+00 
2.40000E+01  1.90035E-01  1.01639E+00 
2.50000E+01  2.00006E-01  1.02285E+00 
2.60000E+01  2.09978E-01  1.02950E+00 
2.70000E+01  2.20102E-01  1.03615E+00 
2.80000E+01  2.30074E-01  1.04281E+00 
2.90000E+01  2.40045E-01  1.04927E+00 
3.00000E+01  2.50016E-01  1.05611E+00 
3.10000E+01  2.59988E-01  1.06257E+00 
3.20000E+01  2.70112E-01  1.06941E+00 
3.30000E+01  2.80084E-01  1.07625E+00 
3.40000E+01  2.90055E-01  1.08290E+00 
3.50000E+01  3.00026E-01  1.08994E+00 
3.60000E+01  3.10151E-01  1.09697E+00 
3.70000E+01  3.20122E-01  1.10381E+00 
3.80000E+01  3.30247E-01  1.11084E+00 
3.90000E+01  3.40218E-01  1.11806E+00 
4.00000E+01  3.50190E-01  1.12528E+00 
4.10000E+01  3.60161E-01  1.13232E+00 
4.20000E+01  3.70286E-01  1.13973E+00 
4.30000E+01  3.80257E-01  1.14714E+00 
4.40000E+01  3.90228E-01  1.15474E+00 
4.50000E+01  4.00200E-01  1.16215E+00 
4.60000E+01  4.10324E-01  1.16994E+00 
4.70000E+01  4.20296E-01  1.17774E+00 
4.80000E+01  4.30267E-01  1.18572E+00 
4.90000E+01  4.40238E-01  1.19370E+00 
5.00000E+01  4.50363E-01  1.20187E+00 
5.10000E+01  4.60334E-01  1.21023E+00 
5.20000E+01  4.70152E-01  1.21859E+00 
5.30000E+01  4.80123E-01  1.22715E+00 
5.40000E+01  4.90248E-01  1.23608E+00 
5.50000E+01  5.00219E-01  1.24482E+00 
5.60000E+01  5.10191E-01  1.25375E+00 
5.70000E+01  5.20162E-01  1.26325E+00 
5.80000E+01  5.30133E-01  1.27276E+00 
5.90000E+01  5.40105E-01  1.28245E+00 
6.00000E+01  5.50076E-01  1.29252E+00 
6.10000E+01  5.60201E-01  1.30278E+00 
6.20000E+01  5.70172E-01  1.31324E+00 
6.30000E+01  5.80297E-01  1.32407E+00 
6.40000E+01  5.90268E-01  1.33509E+00 
6.50000E+01  6.00239E-01  1.34592E+00 
6.60000E+01  6.10211E-01  1.35752E+00 
6.70000E+01  6.20029E-01  1.36949E+00 
6.80000E+01  6.30000E-01  1.38146E+00 
6.90000E+01  6.40125E-01  1.39400E+00 
7.00000E+01  6.50096E-01  1.40655E+00 
7.10000E+01  6.40125E-01  1.40237E+00 
7.20000E+01  6.30000E-01  1.39628E+00 
7.30000E+01  6.20029E-01  1.38868E+00 
7.40000E+01  6.10211E-01  1.37994E+00 
7.50000E+01  6.00239E-01  1.37063E+00 
7.60000E+01  5.90268E-01  1.36075E+00 
7.70000E+01  5.80297E-01  1.35010E+00 
7.80000E+01  5.70172E-01  1.33946E+00 
7.90000E+01  5.60201E-01  1.32863E+00 
8.00000E+01  5.50076E-01  1.31761E+00 
8.10000E+01  5.40105E-01  1.30658E+00 
8.20000E+01  5.30133E-01  1.29594E+00 
8.30000E+01  5.20162E-01  1.28511E+00 
8.40000E+01  5.10191E-01  1.27466E+00 
8.50000E+01  5.00219E-01  1.26420E+00 
8.60000E+01  4.90248E-01  1.25394E+00 
8.70000E+01  4.80123E-01  1.24425E+00 
8.80000E+01  4.70152E-01  1.23475E+00 
8.90000E+01  4.60334E-01  1.22525E+00 
9.00000E+01  4.50363E-01  1.21593E+00 
9.10000E+01  4.40238E-01  1.20681E+00 
9.20000E+01  4.30267E-01  1.19788E+00 
9.30000E+01  4.20296E-01  1.18933E+00 
9.40000E+01  4.10324E-01  1.18059E+00 
9.50000E+01  4.00200E-01  1.17241E+00 
9.60000E+01  3.90228E-01  1.16405E+00 
9.70000E+01  3.80257E-01  1.15607E+00 
9.80000E+01  3.70286E-01  1.14809E+00 
9.90000E+01  3.60161E-01  1.14030E+00 
1.00000E+02  3.50190E-01  1.13251E+00 
1.01000E+02  3.40218E-01  1.12509E+00 
1.02000E+02  3.30247E-01  1.11749E+00 
1.03000E+02  3.20122E-01  1.11008E+00 
1.04000E+02  3.10151E-01  1.10286E+00 
1.05000E+02  3.00026E-01  1.09545E+00 
1.06000E+02  2.90055E-01  1.08842E+00 
1.07000E+02  2.79930E-01  1.08138E+00 
1.08000E+02  2.69959E-01  1.07416E+00 
1.09000E+02  2.59988E-01  1.06732E+00 
1.10000E+02  2.50016E-01  1.06029E+00 
1.11000E+02  2.40045E-01  1.05345E+00 
1.12000E+02  2.30074E-01  1.04680E+00 
1.13000E+02  2.19949E-01  1.04014E+00 
1.14000E+02  2.09978E-01  1.03330E+00 
1.15000E+02  1.99853E-01  1.02665E+00 
1.16000E+02  1.90035E-01  1.02000E+00 
1.17000E+02  1.79910E-01  1.01316E+00 
1.18000E+02  1.69939E-01  1.00689E+00 
1.19000E+02  1.59814E-01  1.00005E+00 
1.20000E+02  1.49843E-01  9.93584E-01 
1.21000E+02  1.40025E-01  9.86933E-01 
1.22000E+02  1.30054E-01  9.80471E-01 
1.23000E+02  1.19929E-01  9.73630E-01 
1.24000E+02  1.10111E-01  9.67168E-01 
